layout srl,INTEGER
act,STR
module,STR
var idx,INTEGER
var name,STR
var type,STR
var is required,STR
var search,STR
var default,STR
var desc,STR
eid,STR
component name,STR
extra vars,STR
site srl,INTEGER
user agent,STR
file srl,INTEGER
upload target srl,INTEGER
upload target type,STR
sid,STR
download count,INTEGER
direct download,STR
source filename,STR
uploaded filename,STR
file size,INTEGER
comment,STR
isvalid,STR
cover image,STR
comment srl,INTEGER
head,INTEGER
arrange,INTEGER
depth,INTEGER
session key,STR
expired,STR
val,STR
last update,STR
cur mid,STR
addon,STR
is used,STR
is used m,STR
email address,STR
email id,STR
email host,STR
find account question,INTEGER
find account answer,STR
homepage,STR
blog,STR
birthday,STR
allow mailing,STR
allow message,STR
denied,STR
limit date,STR
last login,STR
change password date,STR
is admin,STR
layout,STR
layout path,STR
layout type,STR
lock name,STR
deadline,STR
word,STR
hit,INTEGER
latest hit,STR
unique visitor,INTEGER
pageview,INTEGER
auth key,STR
new password,STR
is register,STR
lang code,STR
listorder,INTEGER
menu item srl,INTEGER
parent srl,INTEGER
desc,STR
is shortcut,STR
open window,STR
expand,STR
normal btn,STR
hover btn,STR
active btn,STR
group srls,STR
poll srl,INTEGER
stop date,STR
poll count,INTEGER
index module srl,INTEGER
domain,STR
default language,STR
trash srl,INTEGER
origin module,STR
serialized object,STR
remover srl,INTEGER
friend group srl,INTEGER
module category srl,INTEGER
count,INTEGER
config,STR
package srl,INTEGER
need update,STR
seq,INTEGER
point,INTEGER
trigger name,STR
called position,STR
called method,STR
friend srl,INTEGER
target srl,INTEGER
history srl,INTEGER
group srl,INTEGER
message srl,INTEGER
related srl,INTEGER
sender srl,INTEGER
receiver srl,INTEGER
message type,STR
readed,STR
readed date,STR
autologin key,STR
use mobile,STR
mlayout srl,INTEGER
mid,STR
is skin fix,STR
skin,STR
is mskin fix,STR
mskin,STR
browser title,STR
is default,STR
mcontent,STR
open rss,STR
header text,STR
footer text,STR
category srl,INTEGER
have instance,STR
updatedate,STR
latest item srl,INTEGER
request vars,STR
poll index srl,INTEGER
checkcount,INTEGER
image mark,STR
member join form srl,INTEGER
column type,STR
column name,STR
column title,STR
required,STR
default value,STR
is active,STR
tag srl,INTEGER
tag,STR
is notice,STR
title bold,STR
title color,STR
readed count,INTEGER
voted count,INTEGER
blamed count,INTEGER
comment count,INTEGER
trackback count,INTEGER
uploaded count,INTEGER
tags,STR
last updater,STR
update order,INTEGER
allow trackback,STR
notify message,STR
comment status,STR
alias srl,INTEGER
alias title,STR
is secret,STR
declared count,INTEGER
trash date,STR
document count,INTEGER
log srl,INTEGER
summary,STR
module filebox srl,INTEGER
filename,STR
fileextension,STR
filesize,INTEGER
admin favorite srl,INTEGER
parent module,STR
extend module,STR
kind,STR
is fixed,STR
poll item srl,INTEGER
spamfilter log srl,INTEGER
year id,INTEGER
round,STR
team i dwinner,STR
lg i dwinner,STR
team i dloser,STR
lg i dloser,STR
wins,INTEGER
losses,INTEGER
ties,INTEGER
purchase order id,INTEGER
purchase order detail id,INTEGER
order qty,INTEGER
product id,INTEGER
unit price,FLOAT
predictor id,INTEGER
group id,INTEGER
start time,TIME
run time,FLOAT
predictor name,STR
predictor long name,STR
table name,STR
column list,STR
propagation path,STR
propagation depth,INTEGER
date constrain,STR
parameter list,STR
pattern name,STR
pattern author,STR
pattern code,STR
sql code,STR
target,STR
relevance,FLOAT
concept drift,STR
qc row count,INTEGER
qc null count,INTEGER
exception message,STR
is ok,INTEGER
is duplicate,INTEGER
duplicate name,STR
singer id,INTEGER
birth year,FLOAT
net worth millions,FLOAT
citizenship,STR
song id,INTEGER
sales,FLOAT
highest position,FLOAT
action id,INTEGER
project id,INTEGER
event name,STR
action name,STR
restriction id,INTEGER
role id,INTEGER
src column id,INTEGER
dst column id,INTEGER
only assigned,INTEGER
column id,INTEGER
rule,STR
task limit,INTEGER
hide in dashboard,INTEGER
task id,INTEGER
date creation,INTEGER
reference,STR
date modification,INTEGER
currency,STR
rate,FLOAT
filter,STR
is shared,INTEGER
append,INTEGER
external id,STR
auth type,STR
opposite id,INTEGER
date expiration,INTEGER
plugin,STR
creator id,INTEGER
day,STR
avg lead time,INTEGER
avg cycle time,INTEGER
color id,STR
is image,INTEGER
role,STR
changed by,INTEGER
changed on,INTEGER
notification type,STR
last modified,INTEGER
is public,INTEGER
is private,INTEGER
start date,STR
end date,STR
priority default,INTEGER
priority start,INTEGER
priority end,INTEGER
predefined email subjects,STR
expire at,INTEGER
option,STR
subtask id,INTEGER
start,INTEGER
end,INTEGER
time spent,FLOAT
time estimated,FLOAT
link type,STR
dependency,STR
link id,INTEGER
opposite task id,INTEGER
tag id,INTEGER
date completed,INTEGER
date due,INTEGER
category id,INTEGER
date started,INTEGER
swimlane id,INTEGER
date moved,INTEGER
recurrence status,INTEGER
recurrence trigger,INTEGER
recurrence factor,INTEGER
recurrence timeframe,INTEGER
recurrence basedate,INTEGER
recurrence parent,INTEGER
recurrence child,INTEGER
external provider,STR
external uri,STR
event data,STR
username,STR
is ldap user,INTEGER
google id,STR
github id,STR
notifications enabled,INTEGER
disable login form,INTEGER
twofactor activated,INTEGER
twofactor secret,STR
notifications filter,INTEGER
nb failed login,INTEGER
lock expiration date,INTEGER
gitlab id,INTEGER
avatar path,STR
api access token,STR
b id,INTEGER
m id,INTEGER
member no,INTEGER
lastname,STR
firstname,STR
middleinitial,STR
street,STR
city,STR
state prov,STR
mail code,STR
phone no,STR
issue dt,TIME
expr dt,TIME
region no,INTEGER
corp no,INTEGER
prev balance,FLOAT
eliteid,INTEGER
season,STR
team,STR
league,STR
gametype,STR
gp,INTEGER
pim,INTEGER
plusminus,INTEGER
lake,STR
province,STR
address id,INTEGER
line 1 number building,STR
town city,STR
zip postcode,STR
state province county,STR
service id,INTEGER
service type code,STR
service name,STR
service descriptio,STR
form id,INTEGER
form type code,STR
form number,STR
form name,STR
form description,STR
individual id,INTEGER
individual first name,STR
individual middle name,STR
inidividual phone,STR
individual email,STR
individual address,STR
individual last name,STR
organization id,INTEGER
date formed,TIME
organization name,STR
uk vat number,STR
party id,INTEGER
payment method code,STR
party phone,STR
party email,STR
date contact from,TIME
date contact to,TIME
date address from,TIME
address type code,STR
date address to,TIME
date completion started,TIME
form status code,STR
date fully completed,TIME
booking id,INTEGER
customer id,INTEGER
service datetime,TIME
booking made date,TIME
set,STR
paragraph num,INTEGER
plain text,STR
character id,INTEGER
chapter id,INTEGER
region id,FLOAT
job id,STR
job title,STR
min salary,FLOAT
gene id,STR
expression corr,FLOAT
business entity id,INTEGER
average lead time,INTEGER
standard price,FLOAT
mpg,INTEGER
cylinders,INTEGER
displacement,INTEGER
horsepower,INTEGER
weight,INTEGER
acceleration,FLOAT
model year,INTEGER
origin,INTEGER
course id,INTEGER
course level,STR
event id,INTEGER
device id,INTEGER
longitude,FLOAT
atom id,STR
molecule id,STR
problem category code,STR
problem category description,STR
problem log id,INTEGER
assigned to staff id,INTEGER
problem id,INTEGER
problem status code,STR
log entry date,TIME
log entry description,STR
log entry fix,STR
other log details,STR
problem status description,STR
product name,STR
product details,STR
staff id,INTEGER
staff first name,STR
staff last name,STR
other staff details,STR
closure authorised by staff id,INTEGER
reported by staff id,INTEGER
date problem reported,TIME
date problem closed,TIME
problem description,STR
other problem details,STR
shopping cart item id,INTEGER
shopping cart id,STR
quantity,INTEGER
date created,TIME
modified date,TIME
teacher id,INTEGER
writerid,INTEGER
area,STR
tm,INTEGER
r regionkey,INTEGER
r name,STR
r comment,STR
producerid,INTEGER
created,TIME
cid,INTEGER
pid,INTEGER
added,TIME
ext,STR
handler,STR
pathid,INTEGER
shareid,INTEGER
notify write,INTEGER
notify read,INTEGER
file types,STR
system,INTEGER
fsid,INTEGER
options,STR
hide fieldset name in column,INTEGER
show column by default,INTEGER
sort,INTEGER
generic,INTEGER
visible,INTEGER
type id,INTEGER
date added,TIME
date modified,TIME
field id,INTEGER
alias,STR
with gid,INTEGER
with uid,INTEGER
anonymous,INTEGER
perms upload,STR
perms download,STR
perms comment,STR
perms read comments,STR
perms alter,STR
perms share,STR
relative path,STR
date deleted,TIME
admin type,STR
admin users,INTEGER
admin roles,INTEGER
admin notifications,INTEGER
admin logs,INTEGER
admin metadata,INTEGER
admin over,STR
admin max users,INTEGER
admin homefolder template,STR
homefolder,STR
create folder,INTEGER
space quota max,INTEGER
space quota current,INTEGER
readonly,INTEGER
upload,INTEGER
upload max size,INTEGER
upload limit types,STR
download,INTEGER
download folders,INTEGER
read comments,INTEGER
write comments,INTEGER
weblink,INTEGER
share guests,INTEGER
file history,INTEGER
users may see,STR
change pass,INTEGER
edit profile,INTEGER
id rnd,STR
short url,STR
expiry,TIME
download limit,INTEGER
allow uploads,INTEGER
allow downloads,INTEGER
force save,INTEGER
notify,INTEGER
download terms,STR
show comments,INTEGER
show comments names,INTEGER
require login,INTEGER
has errors,INTEGER
access token id,INTEGER
access token,STR
device uuid,STR
auth code id,INTEGER
auth code,STR
logo url,STR
publisher,STR
website,STR
publisher website,STR
refresh token,STR
owner type,STR
client ip,STR
owner ip,STR
uniq,STR
related to id,INTEGER
relation type,STR
var,STR
two step enabled,INTEGER
two step secret,STR
last otp,STR
last pass change,TIME
cookie,STR
registration date,TIME
activated,INTEGER
expiration date,TIME
require password change,INTEGER
failed login attempts,INTEGER
last access date,TIME
last notif delivery date,TIME
last login date,TIME
last logout date,TIME
receive notifications,INTEGER
new email,STR
phone,STR
company,STR
avatar,STR
csrf token,STR
ip address,STR
territory id,INTEGER
sales quota,FLOAT
ico,INTEGER
konskup,INTEGER
roknar,INTEGER
rokvstup,INTEGER
mesvstup,INTEGER
stav,INTEGER
vzdelani,INTEGER
zodpov,INTEGER
telaktza,INTEGER
aktpozam,INTEGER
doprava,INTEGER
dopratrv,INTEGER
koureni,INTEGER
dobakour,STR
byvkurak,STR
alkohol,INTEGER
pivo,STR
vino,INTEGER
lihov,INTEGER
pivomn,INTEGER
vinomn,INTEGER
lihmn,INTEGER
kava,INTEGER
caj,INTEGER
cukr,INTEGER
im,INTEGER
iml,STR
ht,INTEGER
htd,STR
htl,STR
ict,INTEGER
ictl,STR
diabet,INTEGER
diabd,INTEGER
diabl,INTEGER
hyplip,INTEGER
hypld,STR
hypll,STR
imtrv,STR
httrv,STR
icttrv,STR
diabtrv,INTEGER
hypltrv,STR
bolhr,INTEGER
boldk,INTEGER
dusnost,INTEGER
vyska,INTEGER
vaha,INTEGER
syst,INTEGER
diast,INTEGER
tric,INTEGER
subsc,INTEGER
chlst,INTEGER
trigl,INTEGER
moc,INTEGER
rarisk,INTEGER
obezrisk,INTEGER
kourrisk,INTEGER
htrisk,INTEGER
cholrisk,INTEGER
first name,STR
last name,STR
gender,STR
film count,INTEGER
business id,INTEGER
day id,INTEGER
opening time,STR
closing time,STR
component id,STR
component type id,STR
bolt pattern long,FLOAT
bolt pattern wide,FLOAT
thickness,FLOAT
orientation,STR
s symb,STR
s issue,STR
s st id,STR
s name,STR
s ex id,STR
s co id,FLOAT
link count,INTEGER
iplink count,INTEGER
clickvariation count,INTEGER
term account,INTEGER
term verify,INTEGER
term member,INTEGER
term sign,INTEGER
term free,INTEGER
term suspension,INTEGER
word count,INTEGER
words length median,INTEGER
punctuation count,INTEGER
digits count,INTEGER
all domains whitelisted,INTEGER
database name,STR
has tables,INTEGER
has records,INTEGER
matches expected row count,INTEGER
has primary keys,INTEGER
has normal column,INTEGER
has target table,INTEGER
has description,INTEGER
has task,INTEGER
has bibtex,INTEGER
qc,INTEGER
got,STR
gpt,STR
alb,STR
tbil,STR
dbil,STR
che,STR
ttt,STR
ztt,STR
tcho,STR
tp,STR
in id,INTEGER
typ faktury,STR
interni cislo,STR
vystaveno,STR
splatnost,STR
nazev firmy,STR
celkem kc,FLOAT
celkem bez zaloh kc,FLOAT
zbyva uhradit kc,FLOAT
stav uhrady,STR
datum uhrady,STR
stitky,STR
zauctovano,INTEGER
storno,INTEGER
stredisko,STR
zodpovedna osoba,STR
sleva proc,FLOAT
cinnost,STR
datum zdanpl,STR
zaklad celkem kc,FLOAT
dph celkem kc,FLOAT
cislo objednavky,STR
popis,STR
variabilni symbol,STR
mena,STR
kurz,FLOAT
celkem mena,FLOAT
forma uhrady,STR
zalohy,FLOAT
firma,STR
mesto,STR
p sc,STR
ulice,STR
stat,STR
ean,STR
ic,STR
d ic,STR
naklady,FLOAT
osvob bez dph kc,FLOAT
zaklad dph zakl kc,FLOAT
dph zakladni kc,FLOAT
zaklad dph sniz kc,FLOAT
dph snizena kc,FLOAT
zaklad dph 2 sniz kc,FLOAT
dph 2 snizena kc,FLOAT
radky dph,STR
stat dph,STR
misto plneni tuzemsko,INTEGER
je ucetni,INTEGER
datum zauct,STR
bankovni ucet,STR
predpis zauctovani,STR
ucet md,FLOAT
confidence,INTEGER
confidence summary,STR
bid,INTEGER
full address,STR
latitude,STR
review count,INTEGER
is open,INTEGER
state,STR
category name,STR
neighbourhood name,STR
rid,INTEGER
text,STR
month,STR
tip id,INTEGER
likes,INTEGER
customer type id,STR
member id,STR
nationality,STR
performance id,FLOAT
host,STR
attendance,INTEGER
num of pieces,INTEGER
pilot id,INTEGER
age,INTEGER
aircraft id,INTEGER
aircraft,STR
max gross weight,STR
total disk area,STR
max disk loading,STR
fastest qualifying,STR
winning pilot,STR
winning aircraft,STR
airport id,INTEGER
airport name,STR
total passengers,FLOAT
% change,STR
international passengers,FLOAT
domestic passengers,FLOAT
transit passengers,FLOAT
aircraft movements,FLOAT
freight metric tonnes,FLOAT
subattribute,STR
genre,STR
stor id,STR
ord num,STR
ord date,TIME
qty,INTEGER
payterms,STR
title id,STR
hs ca id,FLOAT
id organ,INTEGER
organ id organ,INTEGER
id typ organu,INTEGER
zkratka,STR
nazev organu cz,STR
nazev organu en,STR
od organ,STR
do organ,STR
priorita,STR
cl organ base,INTEGER
organ,STR
a nick name,STR
anonymity,BINARY
author id,INTEGER
choice,BINARY
content id,INTEGER
create ip,STR
is recruit,BINARY
last editor id,INTEGER
last updated,TIME
note count,INTEGER
scrap count,INTEGER
selected note id,INTEGER
tag string,STR
view count,INTEGER
vote count,INTEGER
area city code id,STR
avatar tags id,INTEGER
avatar id,INTEGER
last read,TIME
date expired,TIME
secured key,STR
job position tags id,INTEGER
content files id,INTEGER
banner id,INTEGER
click count,INTEGER
recruit id,INTEGER
job pay type,STR
max career,INTEGER
min career,INTEGER
provider,STR
article id,INTEGER
image,STR
default label,STR
external link,STR
icon css names,STR
isurl,BINARY
label code,STR
level,INTEGER
require tag,BINARY
sort order,INTEGER
use evaluate,BINARY
use note,BINARY
use opinion,BINARY
use tag,BINARY
writable,BINARY
write by external link,BINARY
company id,INTEGER
employee number,INTEGER
homepage url,STR
tel,STR
welfare,STR
article tags id,INTEGER
resume id,INTEGER
attach type,STR
byte size,INTEGER
height,INTEGER
org name,STR
width,INTEGER
activity point,INTEGER
nickname,STR
official,BINARY
picture,STR
picture type,INTEGER
voter id,INTEGER
person id,INTEGER
account expired,BINARY
account locked,BINARY
date withdraw,TIME
last password changed,TIME
last update ip,STR
password expired,BINARY
withdraw,BINARY
tagged count,INTEGER
locked,BINARY
logo,STR
manager id,INTEGER
register number,STR
dm allowed,BINARY
full name,STR
authority,STR
selected,BINARY
text type,INTEGER
remote addr,STR
point type,STR
closed,BINARY
district,STR
job type,STR
working month,INTEGER
sender id,INTEGER
receiver id,INTEGER
md,STR
patch,STR
revision,INTEGER
follower id,INTEGER
following id,INTEGER
movie id,INTEGER
roller coaster id,INTEGER
park,STR
country id,INTEGER
length,FLOAT
speed,STR
opened,STR
population,INTEGER
languages,STR
mx,FLOAT
drug id,STR
tip length,STR
startprice,FLOAT
ordernumber,STR
ordernumber export,STR
subshop id,INTEGER
configurator set id,INTEGER
child id,INTEGER
option id,INTEGER
media id,INTEGER
variation,FLOAT
set id,INTEGER
public,INTEGER
template id,INTEGER
customer group key,STR
from,INTEGER
to,STR
price,FLOAT
pseudoprice,FLOAT
percent,FLOAT
template price id,INTEGER
order number,STR
suppliernumber,STR
additionaltext,STR
impressions,INTEGER
active,INTEGER
instock,INTEGER
stockmin,INTEGER
laststock,INTEGER
attr,STR
mapping id,INTEGER
image id,INTEGER
supplier id,INTEGER
description long,STR
shippingtime,STR
datum,TIME
tax id,INTEGER
pseudosales,INTEGER
topseller,INTEGER
meta title,STR
keywords,STR
changetime,TIME
pricegroup id,INTEGER
pricegroup active,INTEGER
filtergroup id,INTEGER
crossbundlelook,INTEGER
notification,INTEGER
template,STR
mode,INTEGER
main detail id,INTEGER
available from,TIME
available to,TIME
related article id,INTEGER
articledetails id,INTEGER
customergroup id,INTEGER
parent category i d,INTEGER
shop id,INTEGER
download id,INTEGER
serials,INTEGER
maxdownloads,INTEGER
esd id,INTEGER
serialnumber,STR
img,STR
main,INTEGER
relations,STR
extension,STR
article detail id,INTEGER
attribute,STR
information id,INTEGER
mail,STR
send,INTEGER
shop link,STR
pricegroup,STR
baseprice,FLOAT
price id,INTEGER
relatedarticle,STR
viewed,INTEGER
init date,TIME
meta description,STR
meta keywords,STR
changed,TIME
last cleared,TIME
language id,INTEGER
description clear,STR
headline,STR
answer,STR
answer date,TIME
translatable,INTEGER
display in backend,INTEGER
custom,INTEGER
help text,STR
support text,STR
entity,STR
array store,STR
last sent,TIME
last received,TIME
last order id,INTEGER
last customer id,INTEGER
last product id,INTEGER
last analytics id,INTEGER
last updated orders date,TIME
batch size,INTEGER
industry,INTEGER
response token,STR
cached template,STR
typ,INTEGER
group,STR
show,INTEGER
short description,STR
views,INTEGER
display date,TIME
shop ids,STR
blog id,INTEGER
creation date,TIME
preview,INTEGER
articleordernumber,STR
link target,STR
promotion id,INTEGER
html,STR
alignment,STR
mailing id,INTEGER
customer,INTEGER
lastmailing,INTEGER
lastread,INTEGER
double optin confirmed,TIME
salutation,STR
deleted,TIME
groups,STR
sendermail,STR
sendername,STR
plaintext,INTEGER
recipients,INTEGER
read,INTEGER
clicked,INTEGER
customergroup,STR
publish,INTEGER
timed delivery,TIME
container id,INTEGER
left,INTEGER
right,INTEGER
metakeywords,STR
metadescription,STR
cmsheadline,STR
cmstext,STR
external,STR
hidefilter,INTEGER
hidetop,INTEGER
product box layout,STR
stream id,INTEGER
hide sortings,INTEGER
sorting ids,STR
facet ids,STR
external target,STR
shops,STR
tpl1variable,STR
tpl1path,STR
tpl2variable,STR
tpl2path,STR
tpl3variable,STR
tpl3path,STR
grouping,STR
page title,STR
cms static i d,INTEGER
email template,STR
email subject,STR
ticket typeid,INTEGER
isocode,STR
cms support i d,INTEGER
error msg,STR
support id,INTEGER
ticket task,STR
internal name,STR
privilege id,INTEGER
required privilege id,INTEGER
plugin id,INTEGER
encoder,STR
api key,STR
locale id,INTEGER
lastlogin,TIME
failedlogins,INTEGER
lockeduntil,TIME
extended editor,INTEGER
disabled cache,INTEGER
auth id,INTEGER
admin,INTEGER
element id,INTEGER
state id,INTEGER
frommail,STR
fromname,STR
content html,STR
ishtml,INTEGER
attachment,STR
mailtype,INTEGER
context,STR
dirty,INTEGER
countryname,STR
countryiso,STR
area id,INTEGER
countryen,STR
notice,STR
taxfree,INTEGER
taxfree ustid,INTEGER
taxfree ustid checked,INTEGER
iso,STR
display state in registration,INTEGER
force state in registration,INTEGER
allow shipping,INTEGER
shortcode,STR
standard,INTEGER
factor,FLOAT
templatechar,STR
symbol position,INTEGER
groupkey,STR
tax,INTEGER
taxinput,INTEGER
discount,FLOAT
minimumorder,FLOAT
minimumordersurcharge,FLOAT
customer group i d,INTEGER
basketdiscount,FLOAT
basketdiscountstart,FLOAT
netto,INTEGER
numbers,STR
top,INTEGER
bottom,INTEGER
pagebreak,INTEGER
style,STR
domname,STR
default,STR
store,STR
variantable,INTEGER
help,STR
license,STR
notation,STR
creation,TIME
locale,STR
territory,STR
onclick,STR
controller,STR
shortcut,STR
content type,STR
payment mean id,INTEGER
use billing data,INTEGER
bankname,STR
bic,STR
iban,STR
account number,STR
bank code,STR
account holder,STR
created at,TIME
order id,INTEGER
bank name,STR
amount,FLOAT
table,STR
hide,INTEGER
additionaldescription,STR
debit percent,FLOAT
surcharge,FLOAT
surchargestring,STR
esdactive,INTEGER
embediframe,STR
hideprospect,INTEGER
mobile inactive,INTEGER
paymentmean id,INTEGER
payment id,INTEGER
namespace,STR
translations,STR
installation date,TIME
update date,TIME
refresh date,TIME
author,STR
copyright,STR
support,STR
changes,STR
store version,STR
store date,TIME
capability update,INTEGER
capability install,INTEGER
capability enable,INTEGER
update source,STR
update version,STR
capability secure uninstall,INTEGER
in safe mode,INTEGER
discountstart,FLOAT
org path,STR
modified,INTEGER
currency id,INTEGER
main id,INTEGER
base path,STR
base url,STR
hosts,STR
secure,INTEGER
document template id,INTEGER
customer group id,INTEGER
fallback id,INTEGER
customer scope,INTEGER
updated,TIME
subscribe,STR
listener,STR
customer groupid,INTEGER
esi,INTEGER
style support,INTEGER
emotion,INTEGER
selection,STR
field label,STR
allow blank,INTEGER
attributes,STR
less compatible,INTEGER
element values,STR
compiler force,INTEGER
compiler create source map,INTEGER
compiler compress css,INTEGER
compiler compress js,INTEGER
force reload snippets,INTEGER
objectdata,STR
objectkey,INTEGER
objectlanguage,STR
unit,STR
widget id,INTEGER
column,INTEGER
next,TIME
interval,INTEGER
disable on error,INTEGER
inform template,STR
inform mail,STR
accountmode,INTEGER
firstlogin,TIME
newsletter,INTEGER
default billing address id,INTEGER
customernumber,STR
customer group name,STR
department,STR
additional address line,STR
count orders,INTEGER
invoice amount sum,FLOAT
invoice amount avg,FLOAT
invoice amount min,FLOAT
invoice amount max,FLOAT
first order time,TIME
last order time,TIME
has canceled orders,INTEGER
product avg,FLOAT
ordered at weekdays,STR
ordered in shops,STR
ordered on devices,STR
ordered with deliveries,STR
ordered with payments,STR
ordered products,STR
ordered products of categories,STR
ordered products of manufacturer,STR
index time,TIME
conditions,STR
freeze up,TIME
static,INTEGER
valid from,TIME
valid to,TIME
clicks,INTEGER
time,TIME
idcode,STR
fax,STR
web,STR
profil,STR
fix,FLOAT
cookielifetime,INTEGER
partner id,INTEGER
referer,STR
recipient,STR
sender,INTEGER
confirmed,INTEGER
voucher id,INTEGER
cashed,INTEGER
vouchercode,STR
numberofunits,INTEGER
minimumcharge,FLOAT
shippingfree,INTEGER
bindtosupplier,INTEGER
ordercode,STR
modus,INTEGER
percental,INTEGER
numorder,INTEGER
restrictarticles,STR
strict,INTEGER
taxconfig,STR
customer stream ids,STR
cols,INTEGER
cell spacing,INTEGER
cell height,INTEGER
article height,INTEGER
rows,INTEGER
show listing,INTEGER
is landingpage,INTEGER
seo title,STR
seo keywords,STR
seo description,STR
create date,TIME
device,STR
emotion id,INTEGER
start row,INTEGER
start col,INTEGER
